circuit_size,circuit_nodes,sampling,cs_type,n,mu_hat,radius,lcb_mu,ucb_mu
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,hoeffding,10,0.9529057834432851,0.9471627848890888,0.005742998554196355,1.900068568332374
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,betting,10,0.9529057834432855,0.5,0.0,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,hoeffding,20,0.9693088057202195,0.7206163852412719,0.24869242047894757,1.6899251909614914
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,betting,20,0.9693088057202193,0.25928865835731296,0.4814226832853741,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,hoeffding,50,0.9517849152052381,0.49509071045660724,0.45669420474863087,1.4468756256618454
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,betting,50,0.9517849152052384,0.11705528802289245,0.7658894239542151,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,hoeffding,100,0.9875383895382703,0.36973404849698116,0.6178043410412892,1.3572724380352514
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,betting,100,0.9875383895382712,0.05718541131337884,0.8856291773732423,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,hoeffding,200,0.9910865630217692,0.274635328613893,0.7164512344078762,1.2657218916356623
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,betting,200,0.9910865630217717,0.04097445344481532,0.9180510931103694,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,hoeffding,500,0.9928346630487271,0.18414610411317237,0.8086885589355548,1.1769807671618995
